Name,SOL_ID_BO_ID,SO Name,MIS,PPFGP,SSA,RD,SBBAS,SBSGP,SCSS,TD,PRFTS,KVN,NSC8,MSSC
Hangoli B.O,L4397,Saraswati Nagar S.O,,,3.0,4.0,,1.0,,,,,,
Hargolal S.O,13300104,,29.0,,7.0,94.0,,23.0,1.0,214.0,,22.0,44.0,
Haripur B.O,L3940,Raipur Rani S.O,,,2.0,,,,,,,,,
Harnaul B.O,A6845,Jagdhari Work Shop S.O,,,,1.0,,1.0,,,,,,
Hartan B.O,I4684,Radaur S.O,,,2.0,24.0,,,,,,,,
Haveli B.O,E9263,Sadhaura S.O,,,,1.0,,4.0,,27.0,,,,
Holi B.O,I1908,Barara S.O,,,,4.0,,3.0,,2.0,,,,
I.T.B.P.  Bhanu S.O,13410301,,,,,1.0,,1.0,,2.0,,,,
Ind estate S.O,13300601,,2.0,2.0,4.0,10.0,,8.0,4.0,30.0,,,7.0,
Jagadhri Court S.O,13500301,,5.0,1.0,,17.0,,8.0,2.0,12.0,,,19.0,
Jagadhri S.O,13500302,,38.0,3.0,18.0,136.0,,65.0,15.0,204.0,,21.0,62.0,
Jagadhri Town S.O,13500303,,12.0,,4.0,131.0,,39.0,7.0,137.0,,12.0,44.0,
Jagdhari Work Shop S.O,13500201,,9.0,,9.0,58.0,,23.0,9.0,95.0,,6.0,12.0,
Jagdholi B.O,L4398,Saraswati Nagar S.O,,,2.0,9.0,,3.0,,3.0,,,,
Jaidhari B.O,I3762,Buriya S.O,,,4.0,5.0,,4.0,,,,,,
Jalbera B.O,M6334,Durga Nagar S.O,,,,,,2.0,,10.0,,,,
Jaloli B.O,I5067,Barwala S.O (Panchkula),,,1.0,2.0,,,,7.0,,,,
Jandli S.O,13400501,,3.0,,8.0,8.0,,14.0,3.0,12.0,,,1.0,
Jansui B.O,M6335,Durga Nagar S.O,,,,1.0,,3.0,,5.0,,,,
Jathlana B.O,I4685,Radaur S.O,,,5.0,1.0,,4.0,,9.0,,,,
Jatwar S.O,13420101,,1.0,6.0,4.0,13.0,0.0,11.0,,58.0,,1.0,,
Jeoli B.O,F5103,Naraingarh S.O,,,4.0,7.0,,4.0,,12.0,,,,
Jroda B.O,D1364,Jagadhri S.O,,,2.0,2.0,,2.0,,4.0,,,,
Jubbal B.O,I4686,Radaur S.O,,,1.0,3.0,,1.0,,15.0,,,,
Judicial Complex Panchkula S.O,13410801,,1.0,1.0,4.0,4.0,,3.0,,2.0,,,3.0,
Kacha Bazar S.O,13300105,,22.0,,3.0,57.0,,14.0,1.0,120.0,,7.0,20.0,
Kakarmajra B.O,J9668,Shahzadpur S.O.,,,,6.0,,3.0,,2.0,,,,
Kakroo B.O,E1760,Baldev Nagar S.O,,,,1.0,,,,,,,,
Kalanaur B.O,L7568,Thermal Colony Yamuna Nagar S.O,,,2.0,,,1.0,,2.0,,,,
Kalarehri B.O,E1024,Defence Colony S.O,,,,5.0,,3.0,,3.0,,,,
Kalawar B.O,L4399,Saraswati Nagar S.O,,,3.0,8.0,,3.0,,1.0,,,,
Kalesar B.O,L4336,Bhudkalan S.O,,,2.0,6.0,,1.0,,,,,,
