Name,SOL_ID_BO_ID,SO Name,MIS,PPFGP,SSA,RD,SBBAS,SBSGP,SCSS,TD,PRFTS,KVN,NSC8,MSSC
Aharwan BO,E7826,Palwal SO,,,2.0,1.0,,2.0,,,,,,
Akhera BO,J6609,Nuh SO,,,1.0,5.0,,7.0,,1.0,,,,
Alawalpur BO,E7827,Palwal SO,,,6.0,,,2.0,,,,,,
Ali Meo BO,J7232,Hodal SO,,,,14.0,,1.0,,,,,,
Alipur BO,J6124,Tigaon SO,,,2.0,29.0,,3.0,,,,,,
Amarnagar SO Faridabad,12100301,,15.0,3.0,18.0,22.0,,27.0,10.0,21.0,,4.0,16.0,
Amarpur BO,A5004,Ballabgarh SO,,,3.0,7.0,,,,,,,,
Amroli BO,C2803,Palwal SO,,,2.0,,,,,,,,,
Andhop BO,J7233,Hodal SO,,,2.0,3.0,,3.0,,,,,,
Asaota BO,D1119,Palwal SO,,,1.0,,,1.0,,,,,,
Atali BO,B3472,Ballabgarh SO,,,2.0,1.0,,,,,,,,
Aurangabad SO Faridabad,12110501,,,,6.0,4.0,,5.0,,4.0,,,1.0,
Badarpur Syed BO,J6125,Tigaon SO,,,,,,2.0,,4.0,,,,
Baded BO,N8583,Punhana SO,,,1.0,1.0,,1.0,,,,,,
Badli BO,N8584,Punhana SO,,,2.0,,,9.0,,,,,,
Baghanki BO,C4361,Tauru SO,,,2.0,2.0,,,,5.0,,,,
Baghola BO,A5867,Palwal SO,,,1.0,,,1.0,,,,,,
Bahin BO,N8433,Aurangabad SO Faridabad,,,1.0,,,1.0,,,,,,
Ballabgarh SO,12100401,,13.0,,46.0,41.0,,38.0,2.0,68.0,,12.0,34.0,
Bamni Khera BO,N8434,Aurangabad SO Faridabad,,,6.0,,,,,,,,,
Banchari BO,J7234,Hodal SO,,,3.0,,,2.0,,3.0,,,,
Banswa BO,J7309,Hassanpur SO,,,3.0,15.0,,,,,,,,
Baroli BO,E6964,Ballabgarh SO,,,4.0,1.0,,1.0,,,,,,
Bewan BO,L6409,Ferozepur Jhirka SO,,,,1.0,,,,,,,,
Bhadas BO,A4102,Nagina SO Gurgaon,,,5.0,11.0,,1.0,,,,,,
Bhainsrawali BO,J6126,Tigaon SO,,,2.0,3.0,,2.0,,50.0,,,,
Bhandoli BO,J7310,Hassanpur SO,,,1.0,1.0,,1.0,,10.0,,,,
Bhaskola BO,C7988,Faridabad Sector 16a  SO,,,,,,3.0,,7.0,,,,
Bhiduki BO,J7311,Hassanpur SO,,,4.0,1.0,,1.0,,,,,,
Bhuvapur BO,J6127,Tigaon SO,,,,51.0,,2.0,,,,,,
Bichhor BO,N8585,Punhana SO,,,7.0,36.0,,,,,,,,
Bisru BO,N8586,Punhana SO,,,2.0,,,,,,,,,
Budarpur BO,E6143,Nagina SO Gurgaon,,,,16.0,,2.0,,,,,,
Chandpur BO,J6128,Tigaon SO,,,3.0,15.0,,1.0,,,,,,
Chant BO,D1120,Palwal SO,,,4.0,1.0,,2.0,,,,,,
Chawla Colony Ballabgarh SO,12100402,,8.0,1.0,1.0,34.0,,17.0,,71.0,,8.0,24.0,
Chhainsa BO,J7315,Hathin SO,,,,10.0,,,,,,,,
Chhainsa BO,D0248,Ballabgarh SO,,,,17.0,,,,,,,,
Chhajju Nagar BO,B4295,Palwal SO,,,2.0,1.0,,3.0,,,,,,
Chharoda BO,A7480,Tauru SO,,,4.0,,,,,,,,,
Chirwari BO,D1121,Palwal SO,,,1.0,,,1.0,,,,,,
Dayalpur BO,A5005,Ballabgarh SO,,,3.0,1.0,,,,6.0,,,,
Dhauj BO,A5007,Ballabgarh SO,,,1.0,2.0,,1.0,,,,,,
Dighot BO,N8435,Aurangabad SO Faridabad,,,2.0,,,,,,,,,
Dulawat BO,D2647,Tauru SO,,,3.0,20.0,,1.0,,,,,,
Escortsnagar Faridabad SO,12100701,,17.0,2.0,4.0,30.0,,6.0,9.0,47.0,,1.0,15.0,
Factory Area Faridabad SO,12100101,,19.0,,5.0,29.0,,19.0,2.0,148.0,,17.0,18.0,
Faridabad City SO,12100201,,15.0,,4.0,49.0,,27.0,2.0,83.0,,16.0,30.0,
Faridabad NIT HO,12100100,,81.0,2.0,37.0,30.0,1.0,44.0,12.0,121.0,,32.0,100.0,
Faridabad Sector 12 SO,12100702,,,1.0,1.0,1.0,,3.0,,1.0,,,3.0,
Faridabad Sector 15 SO,12100703,,6.0,,5.0,2.0,,12.0,7.0,24.0,,1.0,15.0,
Faridabad Sector 16 SO,12100202,,2.0,,,11.0,,7.0,4.0,27.0,,2.0,14.0,
Faridabad Sector 16a  SO,12100203,,17.0,4.0,7.0,30.0,,23.0,5.0,26.0,,5.0,16.0,
Faridabad Sector 18 SO,12100204,,17.0,,3.0,56.0,,28.0,6.0,81.0,,8.0,17.0,
Faridabad Sector 22 SO,12100501,,15.0,2.0,43.0,26.0,,28.0,3.0,47.0,,8.0,17.0,
Faridabad Sector 29 SO,12100801,,9.0,1.0,1.0,26.0,,16.0,13.0,38.0,,,12.0,
Faridabad Sector 3 SO,12100404,,14.0,,1.0,52.0,,14.0,9.0,68.0,,4.0,24.0,
Faridabad Sector 7 SO,12100601,,10.0,2.0,4.0,12.0,,27.0,7.0,66.0,,9.0,37.0,
Faridabad Sector 8 SO,12100602,,4.0,,5.0,16.0,,16.0,2.0,24.0,,,6.0,
Faridabad Sector 9 SO,12100603,,22.0,2.0,1.0,18.0,,14.0,6.0,32.0,,4.0,31.0,
Faridpur BO,J6129,Tigaon SO,,,,85.0,,,,,,,,
Fatehpur Billoch BO,C1917,Ballabgarh SO,,,2.0,,,3.0,,5.0,,,,
Fatehpur Tagga BO,B3473,Ballabgarh SO,,,3.0,,,1.0,,,,,,
Feroz Gandhi Nagar Faridabad SO,12100102,,8.0,1.0,19.0,51.0,,17.0,,116.0,,7.0,19.0,
Ferozepur Jhirka SO,12210401,,2.0,2.0,12.0,35.0,,32.0,,75.0,,,16.0,
Gadpuri BO,G3876,Ballabgarh SO,,,4.0,,,1.0,,,,,,
Gehlab BO,J7316,Hathin SO,,,3.0,2.0,,,,,,,,
Gharrot BO,J7317,Hathin SO,,,3.0,3.0,,1.0,,,,,,
Ghori BO,B4296,Palwal SO,,,7.0,,,2.0,,,,,,
Gonchhi BO,F5356,Ballabgarh SO,,,4.0,2.0,,4.0,,14.0,,,,
Gorota BO,J7235,Hodal SO,,,,11.0,,,,3.0,,,,
Goyla BO,AK844,Tauru SO,,,,1.0,,,,,,,,
Greater Faridabad PO,12101401,,4.0,1.0,10.0,6.0,,7.0,2.0,16.0,,2.0,4.0,
GT Road Faridabad SO,12100604,,7.0,,2.0,7.0,,7.0,1.0,18.0,,,6.0,
Gulalta BO,N8587,Punhana SO,,,,,,1.0,,,,,,
Gulawad BO,J7312,Hassanpur SO,,,1.0,,,,,,,,,
Gurukul Indraprashtha BO,B3414,Amarnagar SO Faridabad,,,2.0,10.0,,,,,,,,
Hasanpur BO,E0978,Tauru SO,,,5.0,,,,,,,,,
Hassanpur SO,12110701,,,,22.0,23.0,,13.0,,5.0,,1.0,,
Hathin SO,12110301,,,,5.0,7.0,1.0,6.0,,1.0,,,,
Hirwari BO,L6411,Ferozepur Jhirka SO,,,,,,15.0,,,,,,
Hodal SO,12110601,,1.0,,17.0,40.0,,27.0,,51.0,,,3.0,
Hurithal BO,J7318,Hathin SO,,,1.0,,,3.0,,,,,,
Industrial Area Faridabad SO,12100103,,23.0,,2.0,41.0,,28.0,11.0,178.0,,17.0,30.0,
Jaindapur BO,D9394,Palwal SO,,,1.0,,,,,,,,,
Jamalgarh BO,N8588,Punhana SO,,,,4.0,,2.0,,,,,,
Jaurasi BO,E0979,Tauru SO,,,,1.0,,2.0,,2.0,,,,
Jawahar Colony Faridabad SO,12100502,,11.0,2.0,15.0,71.0,,33.0,4.0,140.0,,7.0,20.0,
Jawahar Nagar Palwal SO,12110201,,,,9.0,18.0,,11.0,,120.0,,2.0,10.0,
Jawan BO,G3877,Ballabgarh SO,,,2.0,,,2.0,,,,,,
Jhamuwas BO,C4362,Tauru SO,,,,,,2.0,,,,,,
Kalwari BO,A7481,Tauru SO,,,1.0,,,,,,,,,
Khaika BO,J7236,Hodal SO,,,2.0,6.0,,12.0,,1.0,,,,
Khambi BO,J7237,Hodal SO,,,3.0,,,1.0,,,,,,
Khanpur Ghati BO,N8589,Punhana SO,,,2.0,7.0,,,,,,,,
Khatela Sarai BO,N8436,Aurangabad SO Faridabad,,,1.0,,,,,,,,,
Kheri Kalan BO,E4794,Faridabad Sector 16a  SO,,,3.0,,,1.0,,,,,,
Kondal BO,J7319,Hathin SO,,,4.0,,,1.0,,,,,,
Kurali BO,J6130,Tigaon SO,,,6.0,19.0,,1.0,,,,,,
Kurthala BO,J6611,Nuh SO,,,3.0,,,,,1.0,,,,
Lohinga Kalan BO,N8590,Punhana SO,,,2.0,2.0,,1.0,,,,,,
Madnaka BO,J7321,Hathin SO,,,2.0,,,4.0,,,,,,
Malab BO,J6612,Nuh SO,,,2.0,,,1.0,,,,,,
Malai BO,J7322,Hathin SO,,,1.0,,,,,,,,,
Mandikhera BO,F4475,Nagina SO Gurgaon,,,1.0,1.0,,2.0,,,,,,
Mandkola BO,J7323,Hathin SO,,,2.0,,,2.0,,,,,,
Manjhawali BO,J6131,Tigaon SO,,,1.0,,,1.0,,31.0,,,,
Manpur BO,N8437,Aurangabad SO Faridabad,,,4.0,1.0,,3.0,,6.0,,,,
Marraoli BO,J7239,Hodal SO,,,1.0,25.0,,,,,,,,
Mathura Road Faridabad SO,12100302,,4.0,1.0,1.0,5.0,,6.0,1.0,10.0,,1.0,1.0,
Mini Sectt NUH SO,12210702,,1.0,,,1.0,,,,,,,1.0,
Mohamadpur Ahir BO,A7482,Tauru SO,,,1.0,,,1.0,,,,,,
Mohna BO,B3474,Ballabgarh SO,,,6.0,2.0,,1.0,,,,,,
Moolthan BO,F4476,Nagina SO Gurgaon,,,1.0,11.0,,,,,,,,
Nagina SO Gurgaon,12210801,,,,4.0,10.0,,19.0,,3.0,,,,
Naheda BO,N8591,Punhana SO,,,2.0,,,,,,,,,
Nai BO,N8592,Punhana SO,,,2.0,,,7.0,,,,,,
Nangal Jat BO,N8438,Aurangabad SO Faridabad,,,4.0,,,,,16.0,,,,
Neemka BO,E6965,Ballabgarh SO,,,5.0,,,2.0,,,,,,
New Township Palwal SO,12110202,,7.0,,4.0,17.0,,7.0,1.0,14.0,,1.0,2.0,
Nh2 Faridabad SO,12100105,,17.0,,6.0,20.0,,23.0,6.0,80.0,,8.0,26.0,
Nh3 Faridabad SO,12100106,,11.0,,4.0,24.0,,8.0,,86.0,,6.0,4.0,
Nh4 Faridabad SO,12100107,,23.0,2.0,23.0,16.0,,30.0,11.0,24.0,,9.0,9.0,
Nhpc Colony Faridabad SO,12101001,,4.0,2.0,3.0,14.0,,12.0,11.0,31.0,,3.0,24.0,
NIFM Faridabad SO,12100104,,4.0,,4.0,2.0,,4.0,4.0,8.0,,,4.0,
Nuh SO,12210701,,3.0,,10.0,12.0,,11.0,,6.0,,3.0,,
Pali BO,F5357,Ballabgarh SO,,,2.0,,,,,,,,,
Palwal SO,12110203,,22.0,7.0,57.0,98.0,,73.0,9.0,244.0,,11.0,30.0,
Panhera Khurd BO,G3878,Ballabgarh SO,,,2.0,4.0,,,,11.0,,,,
Pingore BO,N8439,Aurangabad SO Faridabad,,,,20.0,,,,,,,,
Prithla BO,F6183,Palwal SO,,,1.0,,,,,,,,,
Punhana SO,12250801,,,,7.0,8.0,,8.0,2.0,6.0,,,1.0,
PYALA BO,AV768,Ballabgarh SO,,,,2.0,,,,,,,,
Rasulpur BO,B4297,Palwal SO,,,4.0,3.0,,,,,,,,
Rathiwas BO,A7483,Tauru SO,,,4.0,3.0,,1.0,,2.0,,,,
Rawli BO,L6412,Ferozepur Jhirka SO,,,1.0,4.0,,,,,,,,
Rethath BO,N8594,Punhana SO,,,3.0,,,,,,,,,
Rupraka BO,J7324,Hathin SO,,,2.0,,,,,,,,,
Sagarpur BO,F5358,Ballabgarh SO,,,,1.0,,,,,,,,
Sakras BO,F4477,Nagina SO Gurgaon,,,1.0,10.0,,,,,,,,
Sec91 SO,12101301,,,,16.0,4.0,,7.0,1.0,2.0,,1.0,,
Sector21D  SO,12101201,,,,4.0,8.0,,7.0,2.0,13.0,,3.0,12.0,
SECTOR46,12101002,,5.0,1.0,1.0,,,2.0,,3.0,,,1.0,
Sector55 PO,12101501,,,2.0,2.0,2.0,,11.0,11.0,21.0,,,13.0,
Seekri BO,G3879,Ballabgarh SO,,,2.0,,,,,1.0,,,,
Shahchokha BO,N8595,Punhana SO,,,5.0,7.0,,,,,,,,
SHRI VISHWAKARMA SKILL UNIVERSITY,12110204,,,,1.0,,,1.0,,,,,,
Siaroli BO,C2804,Palwal SO,,,,2.0,,2.0,,4.0,,,,
Sihri Singhalheri BO,N8596,Punhana SO,,,1.0,,,3.0,,,,,,
Sikrawa BO,N8597,Punhana SO,,,4.0,,,,,,,,,
Singar BO,N8598,Punhana SO,,,1.0,,,5.0,,,,,,
Sondh BO,J7240,Hodal SO,,,7.0,2.0,,,,,,,,
Sudaka BO,J6613,Nuh SO,,,1.0,4.0,,,,,,,,
Sundh BO,C4363,Tauru SO,,,1.0,1.0,,2.0,,,,,,
Surajkund Faridabad SO,12100901,,4.0,,4.0,5.0,,8.0,1.0,7.0,,,4.0,
Tain BO,J6614,Nuh SO,,,,,,2.0,,,,,,
Tapkan BO,J6615,Nuh SO,,,2.0,,,,,,,,,
Tappa Bilochpur BO,J7314,Hassanpur SO,,,2.0,,,1.0,,,,,,
Tauru SO,12210501,,3.0,,12.0,23.0,,23.0,8.0,26.0,,1.0,7.0,
Teekri Brahman BO,F6184,Palwal SO,,,5.0,7.0,,2.0,,,,,,
Tigaon SO,12110101,,5.0,1.0,13.0,8.0,,11.0,,12.0,,2.0,,
Tilpat BO,A4938,Amarnagar SO Faridabad,,,3.0,3.0,,2.0,,,,,,
Umra BO,B2582,Nagina SO Gurgaon,,,,10.0,,,,,,,,
Uttawar BO,J7325,Hathin SO,,,11.0,,,,,,,,,
Ahrod BO,J3519,Kund SO,,,,1.0,,4.0,,7.0,,,,
Air Force SO,12200501,,8.0,1.0,1.0,4.0,,1.0,,,,1.0,,
Akera BO,C5194,Dharuhera SO,,,1.0,11.0,,1.0,,1.0,,,,
Arjun Nagar SO,12200101,,9.0,4.0,6.0,61.0,,15.0,6.0,38.0,,3.0,18.0,
Asalwas BO,B6198,Bawal SO,,,,3.0,,,,,,,,
Asiaki Gorawas BO,I5322,Palhawas SO,,,2.0,1.0,,,,,,,,
Badhrana BO,E1211,Dharan SO,,,1.0,3.0,,3.0,,4.0,,,,
Badshahpur SO,12210101,,2.0,,11.0,40.0,,14.0,5.0,38.0,,6.0,8.0,
Baghthala BO,E9700,Bawal SO,,,1.0,,,,,,,,,
Baldhan Kalan BO,L7187,Dahina SO,,,,6.0,,1.0,,,,,,
Balwari BO,F6986,Khol SO,,,,4.0,,1.0,,,,,,
Banipur BO,E9701,Bawal SO,,,,8.0,,2.0,,,,,,
Basai BO,L9320,Railwary Road SO,,,5.0,3.0,,3.0,,1.0,,,,
Basai Road SO,12200102,,5.0,,1.0,2.0,,4.0,4.0,70.0,,2.0,5.0,
Basduda BO,J3520,Kund SO,,,1.0,2.0,,4.0,,14.0,,,,
Baslambi BO,L8300,Pataudi SO,,,,1.0,,2.0,,,,,,
Baspadamka BO,L8301,Pataudi SO,,,,,,2.0,,3.0,,,,
Bawal SO,12350101,,2.0,,17.0,67.0,,29.0,5.0,28.0,,1.0,8.0,
Bawwa BO,J8958,Nahar SO,,,2.0,,,1.0,,6.0,,,,
Bhangrola BO,L8164,Garhi Harsaru SO,,,2.0,2.0,,1.0,,,,,,
Bharawas BO,F4823,Rewari SO,,,2.0,,,3.0,,2.0,,,,
Bhatsana BO,F8635,Dharuhera SO,,,,6.0,,,,,,,,
Bhirauti BO,L7549,Sohna SO,,,,2.0,,,,,,,,
Bhondsi SO,12210201,,3.0,1.0,11.0,7.0,,10.0,2.0,7.0,,,4.0,
Bhorakalan SO,12241301,,3.0,2.0,14.0,13.0,,10.0,2.0,39.0,,6.0,1.0,
Bhotwas Ahir BO,E1756,Khori SO,,,1.0,,,,,1.0,,,,
Bikaner BO,E6427,Rewari SO,,,10.0,,,6.0,,4.0,,,,
Bilaspur Khurd BO,E9278,Bhorakalan SO,,,,,,,,4.0,,,,
Bisowa BO,J8959,Nahar SO,,,,1.0,,2.0,,11.0,,,,
Bithwana BO,C9668,Rewari SO,,,,1.0,,5.0,,1.0,,,,
Boria Kamalpur BO,B2905,Rewari SO,,,,2.0,,1.0,,,,,,
Budhera BO,L8165,Garhi Harsaru SO,,,3.0,9.0,,2.0,,12.0,,,,
Budhpur BO,E6428,Rewari SO,,,9.0,3.0,,2.0,,2.0,,,,
Buroli BO,L7188,Dahina SO,,,1.0,,,2.0,,,,,,
Chapera BO,L7550,Sohna SO,,,3.0,10.0,,2.0,,,,,,
Cheelarh BO,O0173,Khalilpur SO,,,1.0,,,1.0,,5.0,,,,
Chita Dungra BO,J3521,Kund SO,,,1.0,2.0,,2.0,,1.0,,,,
CRPF Kadarpur SO,12209801,,,,1.0,1.0,,1.0,1.0,,,,,
D Block South City II Gurgaon,12201802,,13.0,1.0,1.0,12.0,,18.0,16.0,23.0,,4.0,29.0,
Dahina SO,12341101,,12.0,1.0,8.0,104.0,,22.0,7.0,73.0,,2.0,11.0,
Dakhora BO,L7189,Nehrugarh SO,,,1.0,1.0,,,,,,,,
Damdama BO,G8381,Bhondsi SO,,,,14.0,,,,,,,,
Daroli BO,L7190,Dahina SO,,,1.0,2.0,,1.0,,,,,,
Daulah BO,L7551,Sohna SO,,,1.0,,,3.0,,,,,,
Daultabad BO,L9321,Railwary Road SO,,,1.0,4.0,,1.0,,21.0,,,,
Dehlawas Gulabpur BO,D8063,Rewari SO,,,2.0,,,1.0,,3.0,,,,
Dhani Chitarsain BO,F7665,Bhorakalan SO,,,,18.0,,,,,,,,
Dhankot BO,L8166,Garhi Harsaru SO,,,2.0,,,,,1.0,,,,
Dharan SO,12341201,,2.0,,3.0,9.0,,16.0,,4.0,,3.0,2.0,
Dharuhera SO,12310601,,10.0,1.0,7.0,35.0,,27.0,3.0,27.0,,4.0,7.0,
Dhawana BO,C3665,Khol SO,,,1.0,,,2.0,,9.0,,,,
DLF PhII SO,12200801,,2.0,1.0,1.0,12.0,,8.0,3.0,3.0,,1.0,11.0,
DLF QE SO,12200201,,12.0,,7.0,21.0,,17.0,16.0,37.0,,7.0,15.0,
Dungerwas BO,D3548,Dharuhera SO,,,1.0,,,4.0,,25.0,,,,
Farrukh Nagar SO,12250601,,3.0,,12.0,9.0,,11.0,,49.0,,1.0,6.0,
Fazilpur BO,F0220,Badshahpur SO,,,1.0,,,2.0,,,,,,
Galleria DLFIV SO,12200901,,25.0,1.0,4.0,30.0,,23.0,13.0,88.0,,4.0,51.0,
GARAULI KHURD,12200112,,,1.0,6.0,36.0,,3.0,1.0,1.0,,,,
Garhi Bolni BO,G3288,Rewari SO,,,2.0,,,,,,,,,
Garhi Harsaru SO,12250501,Garhi Harsaru SO,4.0,2.0,18.0,30.0,,6.0,1.0,1.0,,2.0,2.0,
Garhi Wajidpur BO,AK416,Sohna SO,,,1.0,,,,,,,,,
Ghamroj BO,G8382,Bhondsi SO,,,,,,,,2.0,,,,
Ghasera BO,L7552,Sohna SO,,,,7.0,,,,,,,,
Ghungola BO,L7553,Sohna SO,,,,1.0,,,,,,,,
Gokal Bazar Rewari SO,12340101,,12.0,1.0,7.0,92.0,,14.0,13.0,308.0,,9.0,58.0,
Gokalgarh BO,E6429,Rewari SO,,,2.0,,,1.0,,1.0,,,,
Gothra BO,J3522,Kund SO,,,1.0,2.0,,3.0,,2.0,,,,
Gothra BO,L7191,Dahina SO,,,,,,3.0,,,,,,
Gudhana BO,AK418,Haillymandi SO,,,2.0,,,3.0,,1.0,,,,
Gugodh BO,J9906,Kosli SO,,,1.0,,,1.0,,,,,,
Gujar Majra BO,B6199,Bawal SO,,,1.0,10.0,,2.0,,,,,,
Guraora BO,I5323,Palhawas SO,,,5.0,2.0,,,,6.0,,,,
Gurgaon HO,12200100,,41.0,6.0,51.0,112.0,,69.0,23.0,158.0,,16.0,87.0,
Gurgaon Kty SO,12200103,,,,1.0,4.0,,4.0,4.0,46.0,,,3.0,
Gurgaon Sector 17 SO,12200104,,8.0,4.0,2.0,11.0,,17.0,1.0,12.0,,,6.0,
Gurgaon Sector 45 SO,12200301,,8.0,1.0,4.0,12.0,,11.0,3.0,6.0,,1.0,13.0,
Gurgaon Sector 56 SO,12201101,,13.0,1.0,2.0,9.0,,13.0,10.0,46.0,,8.0,52.0,
Gurgaon South City I SO,12200105,,10.0,5.0,1.0,,,5.0,2.0,3.0,,2.0,2.0,
Gurgaon South City II SO,12201801,,7.0,,,,,2.0,5.0,8.0,,1.0,12.0,
Guriani SO,12330101,,7.0,,4.0,53.0,,24.0,1.0,53.0,,1.0,8.0,
Gwal Pahari BO,F6888,Gurgaon Sector 45 SO,,,,9.0,,,,,,,,
Haillymandi SO,12250401,,4.0,,11.0,16.0,,12.0,1.0,95.0,,2.0,6.0,
IMT Manesar SO,12205201,,5.0,2.0,10.0,17.0,,23.0,7.0,11.0,,1.0,,
Inchhapuri BO,J6601,Nanukalan SO,,,2.0,,,,,,,,,
Indir Mewat BO,L7554,Sohna SO,,,4.0,6.0,,1.0,,,,,,
Industrial Area Dharuhera SO,12311001,,,1.0,6.0,4.0,,8.0,,4.0,,,1.0,
Industrial Complex Dundahera SO,12201601,,1.0,3.0,9.0,7.0,,15.0,4.0,10.0,,8.0,7.0,
Industrial Estate SO Gurgaon,12200701,,6.0,,6.0,11.0,,8.0,6.0,17.0,,2.0,10.0,
Jaisinghpur Khera BO,B6200,Bawal SO,,,,,,,,9.0,,,,
Jaitpur BO,O0175,Khalilpur SO,,,,,,,,1.0,,,,
Jakhala BO,J8920,Guriani SO,,,1.0,1.0,,1.0,,,,,,
Jamalpur BO,L8302,Pataudi SO,,,1.0,3.0,,,,,,,,
Jant BO,O0176,Khalilpur SO,,,,,,2.0,,2.0,,,,
Jasat BO,O0174,Khalilpur SO,,,1.0,,,2.0,,,,,,
Jataula BO,L6305,Haillymandi SO,,,,,,4.0,,1.0,,,,
Jatauli BO,L6306,Haillymandi SO,,,4.0,3.0,,3.0,,11.0,,,,
Jatusa RS BO,F4824,Rewari SO,,,2.0,3.0,,3.0,,,,,,
Jhabuwa BO,E1309,Bawal SO,,,,5.0,,,,,,,,
Jhal BO,J9907,Nehrugarh SO,,,,,,1.0,,,,,,
Jhanjrola Khera,AV707,,,,3.0,,,,,,,,,
Jharoda BO,J8960,NEHRUGARH SO,,,,1.0,,3.0,,8.0,,,,
Jholri BO,J8961,Nahar SO,,,1.0,,,1.0,,,,,,
Juddi BO,J9908,Kosli SO,,,,1.0,,1.0,,,,,,
Kadarpur BO,G7183,Badshahpur SO,,,1.0,11.0,,1.0,,,,,,
Kankarwali Rewari SO,12340102,,18.0,2.0,3.0,78.0,,25.0,2.0,40.0,,3.0,6.0,
Kannaura BO,I5324,Palhawas SO,,,3.0,,,2.0,,,,,,
Kanwali BO,L7192,Dahina SO,,,,,,1.0,,27.0,,,,
Karawara BO,I5325,Palhawas SO,,,,,,6.0,,4.0,,,,
Karnawas BO,A4457,Rewari SO,,,1.0,1.0,,4.0,,2.0,,,,
Karola BO,L6307,Haillymandi SO,,,1.0,1.0,,,,4.0,,,,
Karoli BO,J8962,Nahar SO,,,1.0,,,13.0,,52.0,,,,
Kasan BO,J6596,Nsg Camp Manesar SO,,,3.0,,,3.0,,3.0,,,,
Khaleta BO,C3666,Khol SO,,,,,,,,4.0,,,,
Khalilpur SO,12250201,,4.0,1.0,3.0,17.0,,8.0,,41.0,,,,
Khandewia BO,L6308,Haillymandi SO,,,,,,,,1.0,,,,
Khandora BO,C9669,Rewari SO,,,,1.0,,,,1.0,,,,
Khandsa Road SO,12200106,,6.0,,3.0,5.0,,5.0,1.0,9.0,,1.0,,
Kharkhara BO,A8325,Dharuhera SO,,,,2.0,,1.0,,1.0,,,,
Khatauli BO,J6602,Nanukalan SO,,,1.0,,,4.0,,2.0,,,,
Khera Khurampur BO,L9306,Farrukh Nagar SO,,,1.0,,,,,5.0,,,,
Kherla BO,G8383,Bhondsi SO,,,4.0,3.0,,1.0,,2.0,,,,
KherliLala BO,L7555,Sohna SO,,,,1.0,,2.0,,,,,,
Khol SO,12310301,,4.0,,0.0,26.0,,7.0,,7.0,,,1.0,
Khor BO,J6603,Nanukalan SO,,,2.0,3.0,,4.0,,2.0,,,,
Khori SO,12310101,,5.0,,6.0,18.0,,10.0,2.0,17.0,,1.0,1.0,
Kiranj BO,L7556,Sohna SO,,,1.0,1.0,,,,,,,,
Kohrar BO,J8963,Nahar SO,,,,1.0,,1.0,,2.0,,,,
Kolana BO,J3523,Kund SO,,,,2.0,,1.0,,,,,,
Kosli SO,12330201,,13.0,,5.0,32.0,,19.0,4.0,77.0,,5.0,4.0,
Kund SO,12310201,,6.0,1.0,5.0,36.0,,16.0,1.0,56.0,,,11.0,
Lakhnaula BO,H8526,Narsinghpur SO,,,2.0,3.0,,2.0,,1.0,,,,
Lilodh BO,J8964,Nahar SO,,,,,,1.0,,,,,,
Lisan BO,L7193,Dahina SO,,,1.0,,,1.0,,,,,,
Lohana BO,L7194,Dahina SO,,,2.0,3.0,,2.0,,18.0,,,,
Lokra BO,J6604,Nanukalan SO,,,3.0,3.0,,3.0,,2.0,,,,
Lookhi BO,J8965,NEHRUGARH SO,,,2.0,4.0,,5.0,,16.0,,,,
Lula Ahir BO,J9911,Nehrugarh SO,,,,,,,,1.0,,,,
Maheshwari BO,F0221,Dharuhera SO,,,,5.0,,,,,,,,
Majra Gurdas BO,B2906,Rewari SO,,,3.0,1.0,,,,,,,,
Majra Sheoraj BO,C9670,Rewari SO,,,,,,,,,,1.0,,
Mamaria Ahir BO,G7109,Khori SO,,,,2.0,,,,,,,,
Mandola BO,D1909,Khol SO,,,,,,1.0,,8.0,,,,
Mankdola BO,L8167,Garhi Harsaru SO,,,,6.0,,5.0,,3.0,,,,
Maruthi Kunj BO,G8384,Bhondsi SO,,,3.0,2.0,,2.0,,3.0,,,,
Masani BO,C5195,Dharuhera SO,,,3.0,3.0,,2.0,,,,,,
Mastapur BO,E6430,Rewari SO,,,,,,,,1.0,,,,
Mayan BO,A6708,Khol SO,,,,,,1.0,,6.0,,,,
Mehchana BO,L6309,Haillymandi SO,,,1.0,,,,,4.0,,,,
Mini Sectt SO,12200107,,,,3.0,5.0,,9.0,6.0,5.0,,,,
Mirpur BO,O0178,Khalilpur SO,,,,2.0,,2.0,,12.0,,,,
Model Town  Rewari SO,12340103,,17.0,1.0,3.0,78.0,,18.0,11.0,69.0,,2.0,10.0,
Mohanpur BO,C9671,Rewari SO,,,1.0,,,2.0,,1.0,,,,
Mohdinpur BO,A4458,Rewari SO,,,,,,3.0,,2.0,,,,
Moklawas BO,G6240,Bhorakalan SO,,,1.0,,,2.0,,5.0,,,,
Motla Kalan BO,L7195,Dahina SO,,,,,,3.0,,1.0,,,,
Mundi BO,L7196,Dahina SO,,,1.0,4.0,,3.0,,1.0,,,,
Nahar Pur Rupa,AV739,,,,,7.0,,1.0,,,,,,
Nahar SO,12330301,,5.0,1.0,3.0,43.0,,21.0,2.0,89.0,,,6.0,
Naichana BO,D2962,Bawal SO,,,,1.0,,1.0,,,,,,
Nangal Pathani BO,J9912,Kosli SO,,,2.0,,,,,,,,,
Nangal Shahbazpur BO,E9702,Bawal SO,,,1.0,,,4.0,,,,,,
